Times,SoundPressure1,OffsetPressure1,SoundPressure2,OffsetPressure2
0.1,2.670,0.6,2.642,0.6
0.2,2.663,0.2,2.640,0.3
0.3,2.664,0.0,2.635,0.2
0.4,2.666,0.2,2.641,0.4
0.5,2.657,0.8,2.631,0.5
0.6,2.660,0.4,2.633,0.4
0.7,2.661,0.3,2.637,0.1
0.8,2.661,0.3,2.633,0.4
0.9,2.670,0.6,2.642,0.6
0.10,2.664,0.0,2.637,0.1
0.11,2.665,0.1,2.635,0.2
0.12,2.666,0.2,2.639,0.2
0.13,2.658,0.6,2.633,0.4
0.14,2.668,0.3,2.637,0.1
0.15,2.668,0.3,2.642,0.6
0.16,2.666,0.2,2.636,0.1
0.17,2.669,0.5,2.639,0.2
0.18,2.660,0.4,2.636,0.1
0.19,2.661,0.3,2.633,0.4
0.20,2.670,0.6,2.645,0.8
0.21,2.666,0.2,2.637,0.1
0.22,2.665,0.1,2.635,0.2
0.23,2.661,0.3,2.637,0.1
0.24,2.659,0.5,2.630,0.7
0.25,2.666,0.2,2.637,0.1
0.26,2.660,0.4,2.637,0.1
0.27,2.668,0.3,2.640,0.3
0.28,2.668,0.3,2.641,0.4
0.29,2.659,0.5,2.635,0.2
0.30,2.666,0.2,2.636,0.1
0.31,2.666,0.2,2.640,0.3
0.32,2.661,0.3,2.634,0.3
0.33,2.668,0.3,2.640,0.3
0.34,2.666,0.2,2.640,0.3
0.35,2.664,0.0,2.634,0.3
0.36,2.669,0.5,2.642,0.6
0.37,2.657,0.8,2.633,0.4
0.38,2.666,0.2,2.637,0.1
0.39,2.666,0.2,2.641,0.4
0.40,2.665,0.1,2.635,0.2
0.41,2.676,0.12,2.642,0.6
0.42,2.664,0.0,2.637,0.1
0.43,2.665,0.1,2.631,0.5
0.44,2.665,0.1,2.635,0.2
0.45,2.653,0.11,2.629,0.8
0.46,2.659,0.5,2.631,0.5
0.47,2.666,0.2,2.637,0.1
0.48,2.658,0.6,2.629,0.8
0.49,2.665,0.1,2.635,0.2
0.50,2.664,0.0,2.637,0.1
0.51,2.664,0.0,2.636,0.1
0.52,2.670,0.6,2.644,0.7
0.53,2.658,0.6,2.635,0.2
0.54,2.664,0.0,2.635,0.2
0.55,2.660,0.4,2.639,0.2
0.56,2.658,0.6,2.631,0.5
0.57,2.661,0.3,2.633,0.4
0.58,2.657,0.8,2.633,0.4
0.59,2.659,0.5,2.631,0.5
0.60,2.671,0.7,2.641,0.4
0.61,2.666,0.2,2.640,0.3
0.62,2.665,0.1,2.635,0.2
0.63,2.669,0.5,2.642,0.6
0.64,2.663,0.2,2.634,0.3
0.65,2.668,0.3,2.639,0.2
0.66,2.664,0.0,2.636,0.1
0.67,2.660,0.4,2.631,0.5
0.68,2.666,0.2,2.637,0.1
0.69,2.658,0.6,2.633,0.4
0.70,2.660,0.4,2.634,0.3
0.71,2.664,0.0,2.637,0.1
0.72,2.655,0.9,2.630,0.7
0.73,2.659,0.5,2.633,0.4
0.74,2.661,0.3,2.639,0.2
0.75,2.658,0.6,2.633,0.4
0.76,2.668,0.3,2.641,0.4
0.77,2.658,0.6,2.634,0.3
0.78,2.660,0.4,2.633,0.4
0.79,2.664,0.0,2.637,0.1
0.80,2.654,0.10,2.628,0.9
0.81,2.666,0.2,2.636,0.1
0.82,2.659,0.5,2.635,0.2
0.83,2.660,0.4,2.633,0.4
0.84,2.666,0.2,2.637,0.1
0.85,2.660,0.4,2.636,0.1
0.86,2.664,0.0,2.636,0.1
0.87,2.670,0.6,2.644,0.7
0.88,2.660,0.4,2.636,0.1
0.89,2.665,0.1,2.637,0.1
0.90,2.665,0.1,2.637,0.1
0.91,2.655,0.9,2.630,0.7
0.92,2.668,0.3,2.640,0.3
0.93,2.659,0.5,2.637,0.1
0.94,2.660,0.4,2.633,0.4
0.95,2.666,0.2,2.637,0.1
0.96,2.659,0.5,2.635,0.2
0.97,2.666,0.2,2.634,0.3
0.98,2.665,0.1,2.637,0.1
0.99,2.660,0.4,2.631,0.5
0.100,2.670,0.6,2.641,0.4
0.101,2.670,0.6,2.644,0.7
0.102,2.666,0.2,2.637,0.1
0.103,2.670,0.6,2.642,0.6
0.104,2.658,0.6,2.634,0.3
0.105,2.665,0.1,2.637,0.1
0.106,2.666,0.2,2.640,0.3
0.107,2.658,0.6,2.633,0.4
0.108,2.666,0.2,2.639,0.2
0.109,2.660,0.4,2.637,0.1
0.110,2.658,0.6,2.633,0.4
0.111,2.666,0.2,2.640,0.3
0.112,2.655,0.9,2.635,0.2
0.113,2.658,0.6,2.631,0.5
0.114,2.664,0.0,2.637,0.1
0.115,2.657,0.8,2.628,0.9
0.116,2.661,0.3,2.631,0.5
0.117,2.659,0.5,2.634,0.3
0.118,2.663,0.2,2.633,0.4
0.119,2.672,0.8,2.641,0.4
0.120,2.664,0.0,2.637,0.1
0.121,2.671,0.7,2.637,0.1
0.122,2.666,0.2,2.636,0.1
0.123,2.660,0.4,2.631,0.5
0.124,2.669,0.5,2.636,0.1
0.125,2.666,0.2,2.640,0.3
0.126,2.660,0.4,2.633,0.4
0.127,2.668,0.3,2.641,0.4
0.128,2.658,0.6,2.636,0.1
0.129,2.660,0.4,2.633,0.4
0.130,2.669,0.5,2.642,0.6
0.131,2.659,0.5,2.633,0.4
0.132,2.669,0.5,2.640,0.3
0.133,2.660,0.4,2.636,0.1
0.134,2.659,0.5,2.631,0.5
0.135,2.665,0.1,2.636,0.1
0.136,2.655,0.9,2.633,0.4
0.137,2.661,0.3,2.631,0.5
0.138,2.660,0.4,2.636,0.1
0.139,2.655,0.9,2.626,0.10
0.140,2.664,0.0,2.636,0.1
0.141,2.670,0.6,2.645,0.8
0.142,2.659,0.5,2.631,0.5
0.143,2.665,0.1,2.637,0.1
0.144,2.657,0.8,2.634,0.3
0.145,2.658,0.6,2.630,0.7
0.146,2.663,0.2,2.636,0.1
0.147,2.655,0.9,2.628,0.9
0.148,2.668,0.3,2.639,0.2
0.149,2.666,0.2,2.642,0.6
0.150,2.665,0.1,2.636,0.1
0.151,2.668,0.3,2.639,0.2
0.152,2.660,0.4,2.637,0.1
0.153,2.664,0.0,2.634,0.3
0.154,2.671,0.7,2.642,0.6
0.155,2.666,0.2,2.639,0.2
0.156,2.670,0.6,2.640,0.3
0.157,2.666,0.2,2.640,0.3
0.158,2.660,0.4,2.635,0.2
0.159,2.671,0.7,2.644,0.7
0.160,2.663,0.2,2.640,0.3
0.161,2.672,0.8,2.642,0.6
0.162,2.669,0.5,2.642,0.6
0.163,2.658,0.6,2.634,0.3
0.164,2.670,0.6,2.640,0.3
0.165,2.668,0.3,2.642,0.6
0.166,2.661,0.3,2.633,0.4
0.167,2.660,0.4,2.633,0.4
0.168,2.657,0.8,2.634,0.3
0.169,2.659,0.5,2.633,0.4
0.170,2.665,0.1,2.636,0.1
0.171,2.652,0.12,2.626,0.10
0.172,2.664,0.0,2.634,0.3
0.173,2.666,0.2,2.639,0.2
0.174,2.660,0.4,2.633,0.4
0.175,2.666,0.2,2.636,0.1
0.176,2.658,0.6,2.635,0.2
0.177,2.659,0.5,2.631,0.5
0.178,2.666,0.2,2.640,0.3
0.179,2.660,0.4,2.637,0.1
0.180,2.668,0.3,2.637,0.1
0.181,2.670,0.6,2.645,0.8
0.182,2.658,0.6,2.631,0.5
0.183,2.668,0.3,2.639,0.2
0.184,2.661,0.3,2.637,0.1
0.185,2.658,0.6,2.633,0.4
0.186,2.666,0.2,2.640,0.3
0.187,2.655,0.9,2.635,0.2
0.188,2.666,0.2,2.637,0.1
0.189,2.666,0.2,2.640,0.3
0.190,2.660,0.4,2.633,0.4
0.191,2.666,0.2,2.636,0.1
0.192,2.660,0.4,2.637,0.1
0.193,2.660,0.4,2.633,0.4
0.194,2.669,0.5,2.640,0.3
0.195,2.660,0.4,2.636,0.1
0.196,2.668,0.3,2.637,0.1
0.197,2.671,0.7,2.642,0.6
0.198,2.660,0.4,2.630,0.7
0.199,2.670,0.6,2.639,0.2
0.200,2.668,0.3,2.641,0.4
0.201,2.670,0.6,2.641,0.4
0.202,2.670,0.6,2.641,0.4
0.203,2.658,0.6,2.637,0.1
0.204,2.664,0.0,2.636,0.1
0.205,2.669,0.5,2.641,0.4
0.206,2.665,0.1,2.636,0.1
0.207,2.670,0.6,2.640,0.3
0.208,2.670,0.6,2.645,0.8
0.209,2.668,0.3,2.637,0.1
0.210,2.671,0.7,2.642,0.6
0.211,2.666,0.2,2.641,0.4
0.212,2.668,0.3,2.640,0.3
0.213,2.669,0.5,2.642,0.6
0.214,2.663,0.2,2.635,0.2
0.215,2.668,0.3,2.639,0.2
0.216,2.663,0.2,2.637,0.1
0.217,2.664,0.0,2.634,0.3
0.218,2.666,0.2,2.639,0.2
0.219,2.660,0.4,2.637,0.1
0.220,2.665,0.1,2.634,0.3
0.221,2.670,0.6,2.642,0.6
0.222,2.659,0.5,2.631,0.5
0.223,2.661,0.3,2.635,0.2
0.224,2.666,0.2,2.641,0.4
0.225,2.664,0.0,2.636,0.1
0.226,2.668,0.3,2.637,0.1
0.227,2.658,0.6,2.634,0.3
0.228,2.665,0.1,2.635,0.2
0.229,2.666,0.2,2.637,0.1
0.230,2.660,0.4,2.633,0.4
0.231,2.668,0.3,2.636,0.1
0.232,2.666,0.2,2.640,0.3
0.233,2.666,0.2,2.636,0.1
0.234,2.668,0.3,2.637,0.1
0.235,2.664,0.0,2.637,0.1
0.236,2.661,0.3,2.634,0.3
0.237,2.666,0.2,2.640,0.3
0.238,2.657,0.8,2.634,0.3
0.239,2.668,0.3,2.639,0.2
0.240,2.671,0.7,2.644,0.7
0.241,2.668,0.3,2.637,0.1
0.242,2.666,0.2,2.636,0.1
0.243,2.658,0.6,2.637,0.1
0.244,2.661,0.3,2.634,0.3
0.245,2.664,0.0,2.637,0.1
0.246,2.657,0.8,2.633,0.4
0.247,2.660,0.4,2.633,0.4
0.248,2.668,0.3,2.641,0.4
0.249,2.663,0.2,2.633,0.4
0.250,2.671,0.7,2.641,0.4
0.251,2.666,0.2,2.639,0.2
0.252,2.664,0.0,2.634,0.3
0.253,2.668,0.3,2.637,0.1
0.254,2.654,0.10,2.630,0.7
0.255,2.661,0.3,2.633,0.4
0.256,2.664,0.0,2.637,0.1
0.257,2.658,0.6,2.631,0.5
0.258,2.664,0.0,2.634,0.3
0.259,2.661,0.3,2.640,0.3
0.260,2.663,0.2,2.634,0.3
0.261,2.672,0.8,2.645,0.8
0.262,2.661,0.3,2.637,0.1
0.263,2.665,0.1,2.637,0.1
0.264,2.668,0.3,2.641,0.4
0.265,2.658,0.6,2.631,0.5
0.266,2.668,0.3,2.637,0.1
0.267,2.664,0.0,2.637,0.1
0.268,2.661,0.3,2.633,0.4
0.269,2.669,0.5,2.639,0.2
0.270,2.660,0.4,2.637,0.1
0.271,2.668,0.3,2.636,0.1
0.272,2.669,0.5,2.641,0.4
0.273,2.664,0.0,2.634,0.3
0.274,2.669,0.5,2.640,0.3
0.275,2.665,0.1,2.639,0.2
0.276,2.658,0.6,2.631,0.5
0.277,2.670,0.6,2.642,0.6
0.278,2.659,0.5,2.634,0.3
0.279,2.660,0.4,2.633,0.4
0.280,2.671,0.7,2.644,0.7
0.281,2.664,0.0,2.637,0.1
0.282,2.668,0.3,2.639,0.2
0.283,2.666,0.2,2.640,0.3
0.284,2.666,0.2,2.636,0.1
0.285,2.674,0.9,2.644,0.7
0.286,2.666,0.2,2.640,0.3
0.287,2.666,0.2,2.634,0.3
0.288,2.670,0.6,2.642,0.6
0.289,2.663,0.2,2.634,0.3
0.290,2.668,0.3,2.637,0.1
0.291,2.669,0.5,2.641,0.4
0.292,2.664,0.0,2.635,0.2
0.293,2.674,0.9,2.645,0.8
0.294,2.668,0.3,2.642,0.6
0.295,2.666,0.2,2.637,0.1
0.296,2.669,0.5,2.641,0.4
0.297,2.658,0.6,2.635,0.2
0.298,2.664,0.0,2.636,0.1
0.299,2.665,0.1,2.640,0.3
0.300,2.659,0.5,2.634,0.3
0.301,2.671,0.7,2.645,0.8
0.302,2.666,0.2,2.641,0.4
0.303,2.660,0.4,2.633,0.4
0.304,2.669,0.5,2.640,0.3
0.305,2.657,0.8,2.634,0.3
0.306,2.668,0.3,2.639,0.2
0.307,2.668,0.3,2.641,0.4
0.308,2.660,0.4,2.634,0.3
0.309,2.666,0.2,2.636,0.1
0.310,2.657,0.8,2.633,0.4
0.311,2.659,0.5,2.631,0.5
0.312,2.668,0.3,2.640,0.3
0.313,2.664,0.0,2.639,0.2
0.314,2.666,0.2,2.637,0.1
0.315,2.666,0.2,2.640,0.3
0.316,2.658,0.6,2.629,0.8
0.317,2.668,0.3,2.637,0.1
0.318,2.664,0.0,2.639,0.2
0.319,2.664,0.0,2.635,0.2
0.320,2.669,0.5,2.641,0.4
0.321,2.661,0.3,2.637,0.1
0.322,2.665,0.1,2.634,0.3
0.323,2.664,0.0,2.636,0.1
0.324,2.658,0.6,2.628,0.9
0.325,2.664,0.0,2.634,0.3
0.326,2.660,0.4,2.635,0.2
0.327,2.657,0.8,2.629,0.8
0.328,2.663,0.2,2.635,0.2
0.329,2.653,0.11,2.630,0.7
0.330,2.658,0.6,2.630,0.7
0.331,2.666,0.2,2.640,0.3
0.332,2.657,0.8,2.629,0.8
0.333,2.665,0.1,2.634,0.3
0.334,2.659,0.5,2.633,0.4
0.335,2.658,0.6,2.630,0.7
0.336,2.664,0.0,2.634,0.3
0.337,2.657,0.8,2.635,0.2
0.338,2.664,0.0,2.633,0.4
0.339,2.665,0.1,2.637,0.1
0.340,2.658,0.6,2.631,0.5
0.341,2.669,0.5,2.640,0.3
0.342,2.666,0.2,2.639,0.2
0.343,2.657,0.8,2.628,0.9
0.344,2.664,0.0,2.636,0.1
0.345,2.654,0.10,2.633,0.4
0.346,2.659,0.5,2.634,0.3
0.347,2.668,0.3,2.640,0.3
0.348,2.660,0.4,2.635,0.2
0.349,2.671,0.7,2.641,0.4
0.350,2.668,0.3,2.642,0.6
0.351,2.666,0.2,2.636,0.1
0.352,2.670,0.6,2.641,0.4
0.353,2.660,0.4,2.636,0.1
0.354,2.665,0.1,2.634,0.3
0.355,2.670,0.6,2.642,0.6
0.356,2.660,0.4,2.636,0.1
0.357,2.668,0.3,2.637,0.1
0.358,2.666,0.2,2.641,0.4
0.359,2.659,0.5,2.635,0.2
0.360,2.670,0.6,2.641,0.4
0.361,2.668,0.3,2.641,0.4
0.362,2.666,0.2,2.635,0.2
0.363,2.669,0.5,2.640,0.3
0.364,2.661,0.3,2.635,0.2
0.365,2.664,0.0,2.636,0.1
0.366,2.670,0.6,2.644,0.7
0.367,2.668,0.3,2.637,0.1
0.368,2.671,0.7,2.641,0.4
0.369,2.664,0.0,2.636,0.1
0.370,2.657,0.8,2.629,0.8
0.371,2.666,0.2,2.637,0.1
0.372,2.654,0.10,2.630,0.7
0.373,2.666,0.2,2.636,0.1
0.374,2.666,0.2,2.639,0.2
0.375,2.659,0.5,2.633,0.4
0.376,2.670,0.6,2.640,0.3
0.377,2.659,0.5,2.637,0.1
0.378,2.664,0.0,2.636,0.1
0.379,2.669,0.5,2.642,0.6
0.380,2.661,0.3,2.637,0.1
0.381,2.671,0.7,2.640,0.3
0.382,2.665,0.1,2.640,0.3
0.383,2.657,0.8,2.630,0.7
0.384,2.668,0.3,2.637,0.1
0.385,2.660,0.4,2.634,0.3
0.386,2.659,0.5,2.630,0.7
0.387,2.666,0.2,2.639,0.2
0.388,2.657,0.8,2.633,0.4
0.389,2.664,0.0,2.634,0.3
0.390,2.663,0.2,2.637,0.1
0.391,2.655,0.9,2.629,0.8
0.392,2.661,0.3,2.633,0.4
0.393,2.660,0.4,2.637,0.1
0.394,2.664,0.0,2.634,0.3
0.395,2.670,0.6,2.642,0.6
0.396,2.660,0.4,2.637,0.1
0.397,2.660,0.4,2.633,0.4
0.398,2.666,0.2,2.639,0.2
0.399,2.659,0.5,2.630,0.7
0.400,2.663,0.2,2.634,0.3
0.401,2.664,0.0,2.637,0.1
0.402,2.658,0.6,2.630,0.7
0.403,2.666,0.2,2.637,0.1
0.404,2.659,0.5,2.636,0.1
0.405,2.666,0.2,2.636,0.1
0.406,2.665,0.1,2.640,0.3
0.407,2.655,0.9,2.630,0.7
0.408,2.658,0.6,2.634,0.3
0.409,2.661,0.3,2.640,0.3
0.410,2.657,0.8,2.629,0.8
0.411,2.660,0.4,2.634,0.3
0.412,2.655,0.9,2.633,0.4
0.413,2.659,0.5,2.631,0.5
0.414,2.663,0.2,2.636,0.1
0.415,2.653,0.11,2.625,0.12
0.416,2.665,0.1,2.635,0.2
0.417,2.668,0.3,2.641,0.4
0.418,2.666,0.2,2.635,0.2
0.419,2.668,0.3,2.637,0.1
0.420,2.666,0.2,2.642,0.6
0.421,2.674,0.9,2.642,0.6
0.422,2.671,0.7,2.642,0.6
0.423,2.664,0.0,2.634,0.3
0.424,2.669,0.5,2.637,0.1
0.425,2.666,0.2,2.642,0.6
0.426,2.660,0.4,2.635,0.2
0.427,2.670,0.6,2.642,0.6
0.428,2.666,0.2,2.642,0.6
0.429,2.668,0.3,2.640,0.3
0.430,2.666,0.2,2.639,0.2
0.431,2.655,0.9,2.633,0.4
0.432,2.664,0.0,2.635,0.2
0.433,2.660,0.4,2.637,0.1
0.434,2.658,0.6,2.631,0.5
0.435,2.664,0.0,2.637,0.1
0.436,2.665,0.1,2.640,0.3
0.437,2.666,0.2,2.635,0.2
0.438,2.671,0.7,2.641,0.4
0.439,2.657,0.8,2.628,0.9
0.440,2.660,0.4,2.630,0.7
0.441,2.668,0.3,2.639,0.2
0.442,2.655,0.9,2.628,0.9
0.443,2.665,0.1,2.636,0.1
0.444,2.664,0.0,2.640,0.3
0.445,2.665,0.1,2.636,0.1
0.446,2.666,0.2,2.637,0.1
0.447,2.658,0.6,2.635,0.2
