"Times","SoundPressure1","OffsetPressure1","SoundPressure2","OffsetPressure2"
0.0000,2.693,0.006,2.666,0.006
0.0001,2.684,-0.002,2.658,-0.002
0.0002,2.687,0.000,2.659,-0.001
0.0003,2.687,0.000,2.665,0.005
0.0004,2.681,-0.006,2.658,-0.002
0.0005,2.687,0.000,2.664,0.004
0.0006,2.684,-0.002,2.670,0.010
0.0007,2.682,-0.005,2.659,-0.001
0.0008,2.689,0.003,2.672,0.012
0.0009,2.686,-0.001,2.669,0.009
0.0010,2.688,0.001,2.664,0.004
0.0011,2.691,0.004,2.666,0.006
0.0012,2.689,0.003,2.653,-0.007
0.0013,2.699,0.012,2.659,-0.001
0.0014,2.691,0.004,2.657,-0.004
0.0015,2.689,0.003,2.653,-0.007
0.0016,2.697,0.010,2.666,0.006
0.0017,2.691,0.004,2.663,0.002
0.0018,2.691,0.004,2.660,0.000
0.0019,2.689,0.003,2.666,0.006
0.0020,2.683,-0.004,2.666,0.006
0.0021,2.692,0.005,2.665,0.005
0.0022,2.688,0.001,2.669,0.009
0.0023,2.681,-0.006,2.659,-0.001
0.0024,2.688,0.001,2.665,0.005
0.0025,2.687,0.000,2.666,0.006
0.0026,2.678,-0.008,2.647,-0.013
0.0027,2.687,0.000,2.655,-0.005
0.0028,2.684,-0.002,2.655,-0.005
0.0029,2.687,0.000,2.653,-0.007
0.0030,2.691,0.004,2.657,-0.004
0.0031,2.684,-0.002,2.653,-0.007
0.0032,2.687,0.000,2.654,-0.006
0.0033,2.688,0.001,2.663,0.002
0.0034,2.683,-0.004,2.653,-0.007
0.0035,2.687,0.000,2.657,-0.004
0.0036,2.682,-0.005,2.661,0.001
0.0037,2.681,-0.006,2.654,-0.006
0.0038,2.686,-0.001,2.658,-0.002
0.0039,2.686,-0.001,2.666,0.006
0.0040,2.688,0.001,2.666,0.006
0.0041,2.692,0.005,2.672,0.012
0.0042,2.681,-0.006,2.659,-0.001
0.0043,2.682,-0.005,2.658,-0.002
0.0044,2.687,0.000,2.666,0.006
0.0045,2.682,-0.005,2.657,-0.004
0.0046,2.688,0.001,2.665,0.005
0.0047,2.686,-0.001,2.660,0.000
0.0048,2.683,-0.004,2.655,-0.005
0.0049,2.688,0.001,2.658,-0.002
0.0050,2.682,-0.005,2.655,-0.005
0.0051,2.689,0.003,2.657,-0.004
