"Times","SoundPressure1","OffsetPressure1","SoundPressure2","OffsetPressure2"
0.0000,2.691,0.004,2.668,0.007
0.0001,2.687,0.000,2.660,0.000
0.0002,2.688,0.001,2.660,0.000
0.0003,2.682,-0.005,2.655,-0.005
0.0004,2.684,-0.002,2.653,-0.007
0.0005,2.687,0.000,2.658,-0.002
0.0006,2.682,-0.005,2.647,-0.013
0.0007,2.687,0.000,2.653,-0.007
0.0008,2.687,0.000,2.654,-0.006
0.0009,2.683,-0.004,2.652,-0.008
0.0010,2.692,0.005,2.663,0.003
0.0011,2.687,0.000,2.660,0.000
0.0012,2.687,0.000,2.660,0.000
0.0013,2.689,0.003,2.665,0.005
0.0014,2.681,-0.006,2.658,-0.002
0.0015,2.687,0.000,2.661,0.001
0.0016,2.688,0.001,2.666,0.006
0.0017,2.686,-0.001,2.658,-0.002
0.0018,2.689,0.003,2.664,0.004
0.0019,2.687,0.000,2.666,0.006
0.0020,2.692,0.005,2.668,0.007
0.0021,2.700,0.013,2.676,0.016
0.0022,2.687,0.000,2.665,0.005
0.0023,2.687,0.000,2.658,-0.002
0.0024,2.688,0.001,2.664,0.004
0.0025,2.682,-0.005,2.657,-0.004
0.0026,2.687,0.000,2.658,-0.002
0.0027,2.691,0.004,2.666,0.006
0.0028,2.687,0.000,2.658,-0.002
0.0029,2.689,0.003,2.665,0.005
0.0030,2.684,-0.002,2.659,-0.001
0.0031,2.677,-0.010,2.653,-0.007
0.0032,2.687,0.000,2.664,0.004
0.0033,2.683,-0.004,2.659,-0.001
0.0034,2.686,-0.001,2.657,-0.004
0.0035,2.689,0.003,2.659,-0.001
0.0036,2.677,-0.010,2.648,-0.012
0.0037,2.683,-0.004,2.653,-0.007
0.0038,2.686,-0.001,2.658,-0.002
0.0039,2.684,-0.002,2.653,-0.007
0.0040,2.691,0.004,2.659,-0.001
0.0041,2.692,0.005,2.666,0.006
0.0042,2.684,-0.002,2.654,-0.006
0.0043,2.686,-0.001,2.658,-0.002
0.0044,2.681,-0.006,2.654,-0.006
0.0045,2.682,-0.005,2.657,-0.004
0.0046,2.687,0.000,2.665,0.005
0.0047,2.681,-0.006,2.658,-0.002
0.0048,2.687,0.000,2.661,0.001
0.0049,2.687,0.000,2.664,0.004
0.0050,2.684,-0.002,2.655,-0.005
0.0051,2.691,0.004,2.660,0.000
0.0052,2.684,-0.002,2.658,-0.002
0.0053,2.682,-0.005,2.652,-0.008
0.0054,2.688,0.001,2.658,-0.002
0.0055,2.678,-0.008,2.655,-0.005
0.0056,2.682,-0.005,2.653,-0.007
0.0057,2.684,-0.002,2.658,-0.002
0.0058,2.681,-0.006,2.654,-0.006
0.0059,2.692,0.005,2.661,0.001
0.0060,2.691,0.004,2.665,0.005
0.0061,2.691,0.004,2.659,-0.001
0.0062,2.687,0.000,2.658,-0.002
0.0063,2.681,-0.006,2.658,-0.002
0.0064,2.682,-0.005,2.654,-0.006
0.0065,2.686,-0.001,2.666,0.006
0.0066,2.678,-0.008,2.658,-0.002
0.0067,2.684,-0.002,2.658,-0.002
0.0068,2.684,-0.002,2.659,-0.001
0.0069,2.677,-0.010,2.651,-0.010
0.0070,2.686,-0.001,2.655,-0.005
0.0071,2.683,-0.004,2.657,-0.004
0.0072,2.686,-0.001,2.653,-0.007
0.0073,2.689,0.003,2.659,-0.001
0.0074,2.689,0.003,2.661,0.001
0.0075,2.688,0.001,2.654,-0.006
0.0076,2.692,0.005,2.660,0.000
0.0077,2.686,-0.001,2.659,-0.001
0.0078,2.691,0.004,2.665,0.005
0.0079,2.691,0.004,2.670,0.010
0.0080,2.682,-0.005,2.658,-0.002
0.0081,2.689,0.003,2.670,0.010
0.0082,2.686,-0.001,2.666,0.006
0.0083,2.683,-0.004,2.664,0.004
0.0084,2.691,0.004,2.671,0.011
0.0085,2.686,-0.001,2.668,0.007
0.0086,2.691,0.004,2.665,0.005
0.0087,2.695,0.009,2.670,0.010
0.0088,2.688,0.001,2.663,0.003
0.0089,2.689,0.003,2.657,-0.004
0.0090,2.692,0.005,2.664,0.004
0.0091,2.686,-0.001,2.651,-0.010
0.0092,2.687,0.000,2.653,-0.007
0.0093,2.684,-0.002,2.653,-0.007
0.0094,2.682,-0.005,2.652,-0.008
0.0095,2.688,0.001,2.658,-0.002
0.0096,2.689,0.003,2.665,0.005
0.0097,2.689,0.003,2.660,0.000
0.0098,2.689,0.003,2.666,0.006
0.0099,2.681,-0.006,2.658,-0.002
0.0100,2.688,0.001,2.665,0.005
0.0101,2.694,0.007,2.672,0.012
0.0102,2.682,-0.005,2.655,-0.005
0.0103,2.688,0.001,2.660,0.000
0.0104,2.691,0.004,2.666,0.006
0.0105,2.691,0.004,2.663,0.003
0.0106,2.698,0.011,2.669,0.009
0.0107,2.692,0.005,2.665,0.005
0.0108,2.691,0.004,2.660,0.000
0.0109,2.691,0.004,2.664,0.004
0.0110,2.681,-0.006,2.658,-0.002
0.0111,2.688,0.001,2.659,-0.001
0.0112,2.689,0.003,2.666,0.006
0.0113,2.686,-0.001,2.658,-0.002
0.0114,2.692,0.005,2.668,0.007
0.0115,2.688,0.001,2.666,0.006
0.0116,2.684,-0.002,2.658,-0.002
0.0117,2.691,0.004,2.668,0.007
0.0118,2.682,-0.005,2.659,-0.001
0.0119,2.687,0.000,2.660,0.000
0.0120,2.693,0.006,2.666,0.006
0.0121,2.691,0.004,2.661,0.001
0.0122,2.691,0.004,2.658,-0.002
0.0123,2.691,0.004,2.660,0.000
0.0124,2.687,0.000,2.654,-0.006
0.0125,2.689,0.003,2.658,-0.002
0.0126,2.684,-0.002,2.660,0.000
0.0127,2.687,0.000,2.655,-0.005
0.0128,2.688,0.001,2.663,0.003
0.0129,2.682,-0.005,2.658,-0.002
0.0130,2.686,-0.001,2.658,-0.002
0.0131,2.688,0.001,2.664,0.004
0.0132,2.677,-0.010,2.651,-0.010
0.0133,2.686,-0.001,2.660,0.000
0.0134,2.688,0.001,2.664,0.004
0.0135,2.682,-0.005,2.655,-0.005
0.0136,2.688,0.001,2.660,0.000
0.0137,2.683,-0.004,2.659,-0.001
0.0138,2.684,-0.002,2.653,-0.007
0.0139,2.687,0.000,2.660,0.000
0.0140,2.686,-0.001,2.660,0.000
0.0141,2.692,0.005,2.660,0.000
0.0142,2.688,0.001,2.660,0.000
0.0143,2.688,0.001,2.663,0.003
0.0144,2.691,0.004,2.660,0.000
0.0145,2.687,0.000,2.665,0.005
0.0146,2.683,-0.004,2.653,-0.007
0.0147,2.688,0.001,2.658,-0.002
0.0148,2.684,-0.002,2.660,0.000
0.0149,2.684,-0.002,2.653,-0.007
0.0150,2.686,-0.001,2.660,0.000
0.0151,2.677,-0.010,2.657,-0.004
0.0152,2.687,0.000,2.665,0.005
0.0153,2.691,0.004,2.669,0.009
0.0154,2.686,-0.001,2.661,0.001
0.0155,2.695,0.009,2.666,0.006
0.0156,2.692,0.005,2.666,0.006
0.0157,2.694,0.007,2.664,0.004
0.0158,2.700,0.013,2.669,0.009
0.0159,2.692,0.005,2.665,0.005
0.0160,2.695,0.009,2.660,0.000
0.0161,2.701,0.015,2.670,0.010
0.0162,2.687,0.000,2.657,-0.004
0.0163,2.691,0.004,2.659,-0.001
0.0164,2.693,0.006,2.665,0.005
0.0165,2.683,-0.004,2.654,-0.006
0.0166,2.688,0.001,2.661,0.001
0.0167,2.686,-0.001,2.666,0.006
0.0168,2.678,-0.008,2.658,-0.002
0.0169,2.684,-0.002,2.668,0.007
0.0170,2.678,-0.008,2.668,0.007
0.0171,2.684,-0.002,2.661,0.001
0.0172,2.686,-0.001,2.666,0.006
0.0173,2.680,-0.007,2.658,-0.002
0.0174,2.686,-0.001,2.658,-0.002
0.0175,2.684,-0.002,2.661,0.001
0.0176,2.686,-0.001,2.654,-0.006
0.0177,2.688,0.001,2.657,-0.004
0.0178,2.687,0.000,2.655,-0.005
0.0179,2.683,-0.004,2.648,-0.012
0.0180,2.692,0.005,2.658,-0.002
0.0181,2.689,0.003,2.661,0.001
0.0182,2.687,0.000,2.654,-0.006
0.0183,2.692,0.005,2.664,0.004
0.0184,2.683,-0.004,2.657,-0.004
0.0185,2.689,0.003,2.660,0.000
0.0186,2.691,0.004,2.666,0.006
0.0187,2.680,-0.007,2.653,-0.007
0.0188,2.687,0.000,2.660,0.000
0.0189,2.683,-0.004,2.659,-0.001
0.0190,2.684,-0.002,2.658,-0.002
0.0191,2.691,0.004,2.664,0.004
0.0192,2.688,0.001,2.661,0.001
0.0193,2.689,0.003,2.658,-0.002
0.0194,2.694,0.007,2.668,0.007
0.0195,2.688,0.001,2.658,-0.002
0.0196,2.691,0.004,2.657,-0.004
0.0197,2.688,0.001,2.660,0.000
0.0198,2.686,-0.001,2.654,-0.006
0.0199,2.692,0.005,2.661,0.001
0.0200,2.691,0.004,2.666,0.006
0.0201,2.688,0.001,2.664,0.004
0.0202,2.687,0.000,2.668,0.007
0.0203,2.678,-0.008,2.666,0.006
0.0204,2.682,-0.005,2.660,0.000
0.0205,2.686,-0.001,2.666,0.006
0.0206,2.680,-0.007,2.655,-0.005
0.0207,2.688,0.001,2.664,0.004
0.0208,2.686,-0.001,2.664,0.004
0.0209,2.684,-0.002,2.655,-0.005
0.0210,2.688,0.001,2.658,-0.002
0.0211,2.688,0.001,2.659,-0.001
0.0212,2.688,0.001,2.654,-0.006
0.0213,2.694,0.007,2.665,0.005
0.0214,2.691,0.004,2.660,0.000
0.0215,2.693,0.006,2.660,0.000
0.0216,2.692,0.005,2.665,0.005
0.0217,2.681,-0.006,2.654,-0.006
0.0218,2.684,-0.002,2.657,-0.004
0.0219,2.678,-0.008,2.657,-0.004
0.0220,2.680,-0.007,2.654,-0.006
0.0221,2.689,0.003,2.664,0.004
0.0222,2.681,-0.006,2.659,-0.001
0.0223,2.684,-0.002,2.658,-0.002
0.0224,2.689,0.003,2.666,0.006
0.0225,2.684,-0.002,2.660,0.000
0.0226,2.687,0.000,2.658,-0.002
0.0227,2.687,0.000,2.659,-0.001
0.0228,2.681,-0.006,2.649,-0.011
0.0229,2.683,-0.004,2.653,-0.007
0.0230,2.684,-0.002,2.657,-0.004
0.0231,2.687,0.000,2.653,-0.007
0.0232,2.692,0.005,2.660,0.000
0.0233,2.687,0.000,2.658,-0.002
0.0234,2.687,0.000,2.655,-0.005
0.0235,2.691,0.004,2.663,0.003
0.0236,2.684,-0.002,2.659,-0.001
0.0237,2.688,0.001,2.665,0.005
0.0238,2.687,0.000,2.666,0.006
